agency_slug,agency_name,text,char_count,word_count
karachi_port_trust,Karachi Port Trust,"The Karachi Port Trust (KPT) ( Urdu : بندرگاہ کراچی ) is a federally administered Public Sector organization , falls under the Ministry of Maritime Affairs that oversees the operations of the Port of Karachi , one of South Asia's largest and busiest deep-water seaports which handles over 54% of the nation's foreign trade. The agency is headquartered at the colonial-era Karachi Port Trust Building constructed in 1915. .The building was formally inaugurated on 5 January 1916 by Lord Willingdon, Governor of Bombay. Karachi Port Trust, established under Act IV of 1886, the Karachi Port Trust formally came into existence on 1 April 1887, succeeding the Karachi Harbour Board, which administered the port between 1880 and 1887. The Karachi Port is governed by board of trustees of the Karachi Port Trust, consisting of the chairman and ten trustees. The chairman, appointed by the federal government, serves as the chief executive officer of the organization and is supported by eight general managers. The current chairman is Rear Admiral Shahid Ahmed SI(M), S. Bt (Retd). Currently, KPT employs approximately 3415 workers and 311 officers, ensuring efficient port operations and administration.. In addition to its operational mandate, the Karachi Port Trust is entrusted with the protection and preservation of the marine ecosystem in and around the Port of Karachi. KPT has initiated and implemented several environmental sustainability programs, including efforts to protect and expand mangrove forests, reinforcing its commitment to ecological conservation.",1565,239
khan_research_laboratories,Khan Research Laboratories,"The Khan Research Laboratories is a federally funded research and development laboratory located in Kahuta , Rawalpindi. Established in 1976, the laboratory is best known for its central role in Pakistan's nuclear weapons program and its understanding the nuclear science. Established in 1976 as Engineering Research Laboratories, it was originally organized as a top-secret industrial plant dedicated to enrichment as a response to the India's detonation of its first nuclear bomb in 1974. The site was chosen for its remote yet relatively accessible location near Rawalpindi. In the 1970s, the site was the cornerstone of the first stage of Pakistan's atomic bomb program, and serves as the center for conducting the nuclear scientific research. It is globally known for its research in gas centrifuges to produce the enriched uranium ; and in past, it has competed with the Pakistan Institute of Nuclear Science & Technology on wide variety of weapon designs but it is now have focused in civilian missions, including the national security , fusion science and supercomputing . As an aftermath of the India's first nuclear test, the Pakistan Atomic Energy Commission (PAEC) launched the studies on isotope separation through gas method by setting the plant as Project-706 under Bashiruddin Mahmood , a nuclear engineer, in 1974. In 1976, the difficulties encountered in preliminary studies under Mahmood on understanding the equation of state of uranium indicated the need for a dedicated laboratory solely to that purpose. Work on establishing the laboratory was initiated by the army's Engineer-in-Chief who selected Brigadier Zahid Ali Akbar to conduct the topographic survey. Because the experiments were considered too dangerous to conduct in a major city, Brig. Akbar recommended relocating operations to an isolated, remote mountainous area and selected Kahuta , a short distance from Rawalpindi. On 31 July 1976, the laboratory was established as Engineering Research Laboratories (ERL) with Abdul Qadeer Khan as its principal investigator. The officers and personnel from the Corps of Electrical and Mechanical Engineering (EME) were central in working and supporting the operations of the lab with Major-General Ali Nawab acting its principle engineer in 1979. More broadly, the ERL was intended to spur innovation and provide competition to the weapon design with the second lab in Nilore running under the PAEC's contract. Under Abdul Qadeer Khan, the work on equation of state of uranium began with drs. G. D. Alam , Tasneem Shah , and Anwar Ali who served as co-principle investigators at Kahuta. Initially, a large numbers of centrifuges were deployed but they were scaled down to few centrifuges after revised critical mass calculations on equation of state of uranium by Abdul Qadeer Khan and his co-investigators in 1980s. Its official name was changed to the Khan Research Laboratory in 1981 by Presidential decree of President and General Zia Ul Haq , which also allowed its status as a national defense laboratory. Globally, the KRL has a prestige in conducting research into properties and behavior of uranium to learn how uranium is scaled to industrial-to-weapon-grade level and how its equation of state changes under the extreme pressure and temperature. For such investigation, principle investigators employed the Zippe method (local designation: Khan Centrifuge) that runs about 100,000 rpm on continuous at an average of 10 years. The Uranium (U ) is a naturally occurring element that can be found in low levels within all rock, soil, and water. The Natural uranium (U ) consists of three isotopes, Uranium-238 (U ), which is 99.28% natural abundance, the Uranium-235 (U ), which is subject of interest for energy measurement available only at 0.71%, and uranium-234, with proportion of 0.0054%. The Uranium-235 is fissile but at 0.71% it cannot sustain the chain reaction in a nuclear weapon environment, which requires the 90% of U but remains uncontrolled whose reaction takes place in a short amount of time– in a nanosecond time. For this purposes, the gas centrifuge methods using the vacuum technology were established but this method took several years to master, and it was not until the 1985 when the highly enriched uranium (HEU) was first made available. The computer simulations and experiments on uranium are conducted by KRL to understand the structural, electrical, material, and chemical properties as well as uranium fused allows and to determine how these materials change over time under temperature and pressure difference. The laboratory has attracted negative publicity from a number of events, mainly due to its past research affiliation with North Korea and China . In 1996, the Clinton administration accused China of approving the tender released for the KRL on the acquisition of specially-made magnetic rings for special suspension bearings mounted at the top of rotating centrifuge cylinders. In 1999, a visit by the Saudi dignitaries a",5000,786
lahore_development_authority,Lahore Development Authority,"Lahore Development Authority (LDA) is responsible for new planned development in Lahore , Pakistan. It also regulates and issues permits for new construction and housing projects, private houses, commercial development and remodels . It also controls zoning laws . It also manages Lahore's parks and green areas. Its website states that it plans on making Lahore ""one of the thirty leading educational, cultural, commercial, industrial, and information technology centres of the world by 2020"". The Provincial Assembly of Punjab established the Lahore Development Authority under the LDA Act of 1975. It had previously been called the ""Lahore Improvement Trust"". On 9 May 2013, five days after International Firefighters' Day , the LDA Plaza building in central Lahore caught fire, killing 25 people. The fire started on the seventh floor, and media coverage revealed people jumping out of the building to their death. The fire highlighted the irrelevance of fire safety regulations, considering the fact that the very agency whose responsibility it is to ensure compliance with fire safety regulation; the 35-year-old building's staircases were poorly designed and hampered rescue efforts. The fire was finally extinguished after 20 hours. The LDA Board of Governors is chaired by the Zila Nazim of the Lahore City District. Its members include the following: In Lahore Development Authority (U.D Wing), there are 1990 Employees in total out of which 567 have been declared as officers (Scale 16 & above) whereas 1423 fall under the category of officials (scale 1–15). There are 1622 pensioners in total. (As in November 2021).",1628,254
military_intelligence_(pakistan),Military Intelligence (Pakistan),"The Corps of Military Intelligence (CMI) ( Urdu : پاکستانی ملٹری انٹیلیجنس ) , commonly known as the MI, is the intelligence agency of the Pakistan Army . The MI provides assessments on capabilities of competing nations while its mission parameters includes to gather informations on identifying and eliminating sleeper cells, foreign agents, and other anti-state elements within Pakistan, including investigation of military espionage. The MI was established in March 1948 led by Colonel Mohamed Abdul Latif Khan, responsible for army counter intelligence and security, along with tactical and operational intelligence collection and analysis. During its earlier times, the MI had strong ties with the British Army's Intelligence Corps through its British officers, and was specific to its army counterintelligence matters. Even as of today, the MI reports directly to Army GHQ in Rawalpindi, and initially focused on the Indian military advancement in east and on the Taliban's insurgency in the western areas as of 2008. The MI works in close coordination with the Air Intelligence and the Naval Intelligence in protecting the military interests of the country. Its mission also includes to complete security clearances of the army officers working on sensitive assignments within the Pakistan Army. The education, training, and qualification for its personnel to be part of the MI is provided by its School of Military Intelligence that is based in Karachi Cantonment , Sindh, Pakistan. The MI is directed by the Director-General at the active-duty senior two-star ranking Major-General who usually works under the Chief of the General Staff at the Army GHQ in Rawalpindi, Punjab in Pakistan.",1696,262
national_accountability_bureau,National Accountability Bureau,"The National Accountability Bureau ( Urdu : قومی احتساب بیورو ; abbreviated NAB ) is Pakistan's anti-corruption agency. Its chairman is Nazir Ahmed Butt , a retired general. The Ehtesab Act, 1997 established an Ehtesab Cell, charged with the investigation and prosecution of corruption. Under the National Accountability Ordinance, 1999, the NAB was established as the cell's successor, and given the additional responsibility of preventing and raising awareness of corruption. The NAB is also responsible for money-laundering investigations under the Anti-Money Laundering Act, 2010. The principal officers of the NAB are its Chairman and Prosecutor General. Its headquarters are in Islamabad. There are regional bureaus under Directors General in Rawalpindi, Lahore, Karachi, Quetta, Peshawar, Sukkur and Multan. There are four sub-offices (for Gwadar, Hyderabad, Gilgit and Baltistan, and Chamman ) under Additional Directors. The current senior management of NAB is as follows:- The Federal Public Service Commission is responsible for recruitment of Assistant Directors. Newly recruited Assistant Directors attend a five to seven month 'Investigators Basic Induction Course' and are then posted to the central headquarters of the NAB or its regional bureaus. The NAB's Forensic Science Lab was inaugurated by Qamar Zaman Chaudhry , then Chairman, on 20 October 2015. It assists investigations by offering expert opinions on forensic matters. The NAB has also established a Pakistan Anti-Corruption Academy. For each region or sub-office there is an Accountability Court, which tries offences under the National Accountability Ordinance, 1999. The Accountability Courts are completely independent from NAB, which are headed by District & Sessions Judge or Additional District & Sessions Judge. The judges are posted for three years term on deputation from the provincial judiciary. Since its establishment, NAB has recovered Rs. 891 billion out of which Rs. 543 billion has been indirectly recovered in the form of government's or public usurped land. The conviction rate of NAB is 75%, which is far higher than Federal Investigation Agency , provincial Anti-Corruption Establishments, Police and other investigative agencies in Pakistan. In the Broadsheet case , the NAB has been accused of making payments to the wrong person as settlements and has been held by the London Court of International Arbitration (LCIA) of 'conspiring' to defraud and financially harm Broadsheet LLC. According to an editorial in Dawn , the NAB's actions cost Pakistan's taxpayers $28 million in payments as damages as well as a loss of face. In December 2018, an educationist Mian Javed Ahmed died in Camp Jail, Lahore, while in custody facing charges brought by NAB. Dr. Mujahid Kamran, former vice-chancellor of Punjab University, who was also arrested by NAB over allegations of illegal appointments, described the bureau's detention facilities as ""torture cells,"" raising further concerns about the treatment of detainees in NAB custody. In July 2020, Pakistan's Supreme Court ruled that NAB had violated the rights to fair trial and due process in the prolonged detention of opposition politicians Khawaja Saad Rafique and Khawaja Salman Rafique , who were held for 15 months without sufficient grounds. The court granted them bail and criticized NAB for acting with disregard for the law and fundamental rights, describing the case as a clear example of unlawful detention. The decision prompted widespread criticism of NAB, with the Supreme Court Bar Association and Pakistan Bar Council condemning its actions as politically motivated. Human Rights Watch and other observers called for reforms, citing concerns over NAB's alleged use as a tool to harass political opponents and its broad, unchecked powers granted under a 1999 ordinance. The European Commission and Pakistani courts also raised concerns about the agency's perceived bias and arbitrary use of arrest powers, while several high-profile cases, including the detention of media figures and political leaders, were cited as examples of abuse. According to the IMF 's 2025 Governance and Corruption Diagnostic Assessment, the NAB faces credibility issues. The assessment cited a 2024 government task force report that found NAB had at times exceeded its mandate and pursued politically motivated cases, which it said undermined public trust and created bureaucratic hesitation. The assessment report also noted that conviction rates remain low. In August 2025, Khawaja Asif alleged that more than half of Pakistan's civil bureaucracy had acquired property in Portugal and was pursuing its citizenship. In response, the NAB stated that it had no evidence or intelligence to support the minister's claims and confirmed that no related investigations were underway. Concerned officials emphasized that while instances of corruption had occurred, such sweeping accusations were unsubstantiated. The Chairman, National Accountability Bureau is to be a",5000,751
national_bank_of_pakistan,National Bank Of Pakistan,"National Bank of Pakistan ( NBP ) is a Pakistani state-owned multinational commercial bank which is a subsidiary of State Bank of Pakistan . It is headquartered in Karachi, Pakistan . As of December 2022, it has over 1,500 branches across Pakistan . The bank provides various commercial and public sector banking services, including the debt-equity market, corporate investment banking, retail and consumer banking, agricultural financing , treasury services. In the year 2020, the bank was designated domestic systemically important bank (D-SIB) by the State Bank of Pakistan . The National Bank of Pakistan (NBP) was established in 1949 under the National Bank of Pakistan Ordinance as a government-owned bank. Initially, NBP functioned as an agent of the central bank in areas where the State Bank of Pakistan did not have branches and managed government treasury operations. The bank's first branches were situated in the jute-growing regions of East Pakistan , followed by offices in Karachi and Lahore . In 1950, NBP expanded internationally by opening a branch in Jeddah , Saudi Arabia . By 1955, the bank had established additional branches in London and Calcutta . Further international expansion included the establishment of a branch in Baghdad , Iraq , in 1957 and in Dar es Salaam , Tanganyika , in 1962. In 1964, a branch was opened in the United States. Geopolitical events impacted NBP's overseas operations during this period. In 1964, the Iraqi government nationalised NBP's Baghdad branch. The outbreak of hostilities between India and Pakistan in 1965 led the Indian government to seize the Calcutta branch. In 1967, the Tanzanian government nationalised the Dar es Salaam branch. In 1971, NBP acquired two branches of the Bank of China in Karachi and Chittagong . The separation of East Pakistan resulted in the loss of NBP's branches in that region. Subsequently, NBP merged with Eastern Mercantile Bank and Eastern Bank Corporation. In 1974, the government of Pakistan nationalised NBP, and as part of the consolidation of the banking sector, NBP acquired the Bank of Bahawalpur . The bank continued its international operations by opening an offshore branch in Cairo in 1977. In 1994, NBP amalgamated Mehran Bank, and in 1997, it commenced operations of a branch in Ashgabat , Turkmenistan . In 2000, NBP opened a representative office in Almaty , Kazakhstan . In 2001, the State Bank of Pakistan and the Bank of England permitted only two Pakistani banks to operate in the United Kingdom . As a result, NBP and United Bank Limited merged their UK operations to form Pakistan International Bank, with NBP holding a 45% stake and United Bank owning 55%. In 2002, Pakistan International Bank was renamed United National Bank Limited (UNB), maintaining the same ownership structure. Following its privatisation in Pakistan , UNB was owned 49% by the government of Pakistan and 51% by a joint foreign consortium from Abu Dhabi. During this period, NBP underwent partial privatisation and the government of Pakistan sold 23.2 percent share through initial public offering on the Karachi Stock Exchange . In 2003, NBP opened a branch in Kabul , Afghanistan , where the first ATM in the country was installed. The offshore branch in Cairo was closed in 2005. In 2010, NBP opened a branch in Karaganda , Kazakhstan , and in 2011, it established a representative office in Toronto , Canada . NBP owns a team since 1947 and a venue since 1998, both named after it and both located in Karachi . In October 2022, NBP got the naming rights of National Stadium Karachi . NBP owns a Karachi-based men's team playing in Pakistan Premier League . NBP is not involved with any women's team in Pakistan, nevertheless, in October 2020, its director, Imam Baloch, publicly lauded Diya W.F.C. 's actions for spreading football to poor and ""backward areas"" of Karachi and Sindh . NBP owns a team which won the National Hockey Championship in 2013.",3948,653
national_counter_terrorism_authority,National Counter Terrorism Authority,"The National Counter Terrorism Authority ( Urdu : قومی مقتدرہِ انسدادِ دہشت گردی , romanized : Qaumi Maqtarah-e-Ansadadi Dahsht Gardi ), commonly called NACTA , is a Pakistani internal security organization responsible for making counter terrorism and counter extremism policies and strategies. It also develops action plans against terrorism and extremism and reviews their implementation. It is mandated to devise a counter-terrorism strategy that should address short, medium and long-term goals and devise action plans for their implementation. It formulates threat assessments with periodic reviews. It advises the Federal Government on making adequate and timely efforts to counter terrorism and extremism. NACTA was initially set up in 2008, administratively, but its powers and mandate has been clearly spelled out in March 2013, under an Act of Parliament called NACTA Act 2013. The NACTA 2013 Act sets up the framework of the organization. Under the NACTA Act, the National Counter Terrorism Authority is to be governed by a Board of Governors (BOG). The Federal Interior Minister is the Chairman of NACTA BOG. Secretaries Interior, Defense, Law & Finance, DG IB, DG FIA and DGs ISI & MI, Provincial Home secretaries and Provincial IGs are Members of NACTA's BOG with two members from National Assembly & two members from senate one each from Treasury & Opposition. National Coordinator NACTA is Secretary to the BOG. He is also Chief Executive of NACTA. Board provides strategic vision to Authority and oversees its functions. It also approves annual budget of the Authority. An Executive Committee is convened by the National Coordinator to perform such functions as assigned to it by the Board. According to the law the Authority has the following functions: Established in 2025 under NACTA, the National Intelligence Fusion and Threat Assessment Centre (NIFTAC) is a federal-level institution designed to centralize intelligence sharing and coordinate Pakistan’s counterterrorism strategy. It connects over 50 federal and provincial entities and is supported by six Provincial Intelligence Fusion and Threat Assessment Centres (PIFTACs), ensuring integrated threat assessment and response across all regions.",2222,335
national_database_and_registration_authority,National Database And Registration Authority,"National Database & Registration Authority ( NADRA ; Urdu : قومی مقتدرہِ اندراجات و معطیات ) is an independent and autonomous agency under the control of the Interior Secretary of Pakistan that regulates government databases and statistically manages the sensitive registration database of all the National Citizens of Pakistan . Lieutenant General Muhammad Munir Afsar is serving as the Chairman since 2 October 2023. NADRA is also responsible for issuing Computerised National Identity Cards to the citizens of Pakistan, maintaining their sensitive informational upgraded in the government databases, and securing national identities of the citizens of Pakistan from being stolen and theft. It is one of the largest government database institutions, employing more than 24,000 people in more than 900 domestic offices and ten international offices. Codified by the Second Amendment , §30 of the Constitution of Pakistan in 2000, the Constitution grants powers to NADRA to enact civil registration and sensitive databases of Pakistan's citizens; all databases are kept to ensure the safety of citizens' databases. National Database and Registration Authority (NADRA) was established on 10 March 2000 under the Government of President Pervez Musharraf . After the independence of Pakistan in 1947, Prime Minister Liaquat Ali Khan launched the Personal Identity System (PIS) program to register, manage and issue national identification cards to all the citizens of Pakistan and Muslim refugees settling in Pakistan. NADRA is an autonomous body to operate independently with the mandate to replace the old directorate general of Registration with a computerised system of registering 150 million citizens, NADRA launched the Multi-Biometric National Identity Card project developed in conformance with international security documentation issuance practices in the year 2000. The program replaced the paper based Personal Identity System of Pakistan that had been in use since 1973. To date, over 96 million citizens in Pakistan and abroad have utilised the system and its allied services to receive tamper-resistant ISO standard Identification Documents. The organization flourished in the time period of former Chairman Mr. Ali Arshad Hakeem. The Computerised National Identity Card (CNIC) is a computerised national identity card issued by NADRA to Pakistani citizens. The CNIC was introduced in 2000 and, by 2025, over 225 million CNICs had been issued. The CNIC is issued first at the age of 18. Under Pakistani law, it is not compulsory to carry one. However, for Pakistani citizens, the CNIC is mandatory for: Thus, it can be seen as a de facto necessity for meaningful civic life in Pakistan. In Pakistan , all adult citizens must register for the Computerised National Identity Card (CNIC) with a unique number upon reaching the age of 18. It serves as an identification document to authenticate an individual's identity as the citizen of Pakistan . Before introduction of the CNIC, manual National Identity Cards (NICs) were issued to citizens of Pakistan. Today, the Government has shifted all its existing records of National Identity Cards (NIC) to the central computerised database managed by NADRA. New CNIC's are machine-readable and carry facial and fingerprint information. Every citizen is required to have a NIC number, and the number is required for many activities such as getting a driver licence or passport, registering a vehicle, receiving social insurance/Zakat funding, enrolling in school, college or technical institute, filing a legal affidavit, wiring funds, paying taxes, opening/operating a bank account, getting a utility connection (electricity, phone, mobile phone, water and sewer, natural gas), obtaining an alcohol permit for non-Muslim citizens, registering a marriage or divorce etc. However, since some Pakistanis do not conduct any of the activities described above, a few do not have ID cards. In 2007, NADRA announced that it had issued 60 million CNICs (the C standing for computerised) numbers, which is approximately one-third of the population. The authority had issued the 10 millionth CNIC on 11 February 2002; 20 millionth on 18 June 2002; 30 millionth on 22 December 2003; 40 millionth on 1 October 2004; and 50 millionth CNIC on 14 February 2006. A unique 13-digit number is assigned at birth when the parents complete the child's birth registration form (Form RG-2, commonly known as B-Form or Child Registration Certificate (CRC)), and then a National Identity Card (NIC) with the same number is issued at the age of 18. Until 2001, NIC numbers were 11 digits long. In 2001-2002, the authority started issuing 13-digit NIC numbers along with their new Biometric ID cards. The first 5 digits are based on the applicant's locality, the next 7 are random numbers, and the last digit is a check digit, an even number for females and odd number for males. The old manual NIC numbers are invalid as of 1 January 2004. The ID card has the following in",5000,783
national_electric_power_regulatory_authority,National Electric Power Regulatory Authority,"The National Electric Power Regulatory Authority ( Urdu : نیپرا , abbreviated as NEPRA ) is responsible for regulating the electricity supply in Pakistan . It is also responsible for issuing licenses for electricity generation, transmission, and distribution; establishing and enforcing standards to ensure operational quality and safety; approving utility companies’ investment and power acquisition programs; and determining tariffs for electric power. NEPRA was created when the Parliament of Pakistan passed the Regulation of Generation, Transmission and Distribution of Electric Power Act, 1997. NEPRA consists of a chairman appointed by the Federal Government and four members from each of the four provinces of Pakistan. There is also a vice-chairman of the Authority, appointed from among the Members for a period of one year, by rotation.",847,125
national_highway_authority_(pakistan),National Highway Authority (Pakistan),"The National Highway Authority ( NHA ; Urdu : مقتدرہ قومی شاہرات ) is a statutory body under the Ministry of Communications of Pakistan. In 1978, the Government of Pakistan federalised five important inter-provincial roads and named them National Highways . That same year, the National Highway Board was set up to monitor the development and maintenance of these federalised roads by provincial highway departments. In 1991, the Highway Authority of Pakistan Act was passed to monitor the works and administration of national highways , motorways , expressways and strategic roads. The function of the NHA is to plan, develop, operate, repair and maintain all roads entrusted to the NHA by the Government of Pakistan . The NHA is the custodian of 39 national highways, motorways, expressways and strategic roads, combining for a total length of 12,131 kilometers (4.6% of the national road network). The NHA is committed to provide a safe, modern and efficient transportation system and play an important role in the development of Pakistan's micro and macro economy by enhancing national integration.",1102,175
national_highways_and_motorway_police,National Highways And Motorway Police,"The National Highways & Motorway Police ( Urdu : نیشنل ہائی ویز اینڈ موٹروے پولیس ), abbreviated NHMP , is a police force in Pakistan that is responsible for enforcement of traffic and safety laws, security and recovery on Pakistan's National Highways and Motorway network. NHMP use SUVs, cars and heavy motorbikes for patrolling purposes and use speed cameras for enforcing speed limits. The Pakistan Motorways Police began in 1997 for policing Pakistan's newly constructed motorway network, starting with the M-2 . Later, in June 2001, it was also assigned the additional task of patrolling Pakistan's National Highways starting with Pakistan's longest national highway, the N-5 . Following this expansion, the force was renamed the "" National Highways & Motorway Police "" (NHMP). In February 2007, NHMP started policing the Makran Coastal Highway (N-10). The Inspector General of Police (Enforcement) Mr. Afzal Ali Shigri was tasked to prepare the plan for the new force. He was ably assisted by Mr. Shamim Ahmed, a junior officer from the National Transport Research Cell. Ahmed conceived, developed, and prepared a comprehensive proposal to establish a modern and efficient highway police force for the new motorway. With the change of the government the plan was shelved. This plan with slight modifications was established later by Mr. Iftikhar Rashid (Inspector General of Police), who not only implemented the plan but also ensured it achieved the benchmarks laid down at its inception. The NHMP is headquartered in Islamabad and led by the Inspector-General of Police (IGP) assisted by the four (4) Additional Inspectors General eleven(11) Deputy Inspector-Generals (DIGs), each in charge of a separate branch. The rank structure is as follows: For policing purposes, the national highways and motorway network is divided into the Nine Zones , each headed by a DIG and supervised by three Addl. IGPs. Each Zone is divided into multiple ""sectors"" and led by a SSP/SP. Each sector is further divided into ""beats"", each led by an ASP/DSP. Before start of policing on M–2 (Islamabad – Lahore Motorway) in 1997 all the officers were selected from within the existing police set ups of the country and an extensive training program was prepared for them in order to bring them up to international standards of Motorway/Expressway policing. Both local and foreign instructors imparted the training. Local training was given at Police College Sihala. To meet the international standards, experts from UK and Nordic Countries were invited who, along with local experts, trained our officers in advance driving skills and management of various types of incidents. A foreign training course with South Wales Police , U.K. and German Police in Kiel was also conducted to ameliorate personnel of this flourishing force up to the global standard of policing. In addition, services of armed forces were also utilised for advance driving skills particularly for motorcycles . In order to impart customized training related to Highways/Motorway NHMP has set up its own Training College at Sheikhupura with the following mandate: i) To train the newly selected Officers on basic police course. ii) To organize NHMP orientation training of already trained Officers. iii) To organize Driving Training for fresh recruited Officers. iv) To organize advance courses for Drivers to make them Driving Instructors. v) To organize Wireless training courses for Wireless Operators. vi) To organize short courses on SOPs & functioning of NHMP. vii) To organize technical courses on use of Misc. Equipment (Provida, Wireless Sets etc.). xi) To conduct promotional exams for different cadres . xii) To conduct refresher courses for senior officers. xiii) To act as a platform for provision of training by foreign experts. Training Institute is working at its full swing and since January 2006, has trained over 129 trainers in different categories. Training Institute has the honor to train over 400 officers of Islamabad Model Traffic Police and recently trained 40 Senior Officers of Punjab Traffic Police as Trainers to train over 6000 newly recruited Traffic Wardens of Punjab Police. Besides this training Institute has successfully completed Lower Intermediate and Upper Class Promotion Courses in addition to a number of Capacity Building short courses like orientation for Deputationists, Refresher Courses for the CPOs/Admin Officers, Moharrars, Weapon handling, Record Keeping etc. Another landmark for the Training Institute is to complete on its own 1st Commando Course for about 27 Officers with 10 Officers doing Para Gliding Courses including 4 lady Officers. It is worth mentioning that all the above development have been made with the limited available resources under the previous guidance and encouragement of the Worthy Inspector General , NHMP who has been taking personal interest to make the Training Institute a hub of learning and road model for all other Police Training Institutes in the count",5000,785
national_information_technology_board,National Information Technology Board,"The National Information Technology Board ( NITB ) is an autonomous government agency under the Ministry of Information Technology and Telecommunication in Pakistan. It was founded in 2014. National Information Technology Board (NITB) was established in 2014 after the merger of the Pakistan Computer Bureau (PCB) and the Electronic Government Directorate (EGD). However, under the National Information Technology Board Act, of 2022, its status changed to an autonomous body. The Act was approved by the President of Pakistan under Article 75 of the Constitution of Pakistan . The NITB is responsible for implementing e-governance across the country as per the vision and policy of the Federal Government. Its objective is to serve the public in a more efficient and effective manner through the provision of e-governance software applications to advisories, consultancies, and federal ministries and divisions. NITB has developed and launched more than 31 portals and more than 15 mobile applications in the last four years. The NITB launched Pakistan's first communication application ""Beep Pakistan"" under the leadership of Federal Minister for IT and Telecommunication Syed Aminul Haque . This application is intended to be a homegrown alternative to WhatsApp and aims for secure and efficient digital communication between government officials and employees. In July 2023, a media report cited sources–which the report neither named nor even generally specified–to allege that the NITB's tendering process was designed to favor one of the potential bidders.",1562,234
national_institute_of_health_(pakistan),National Institute Of Health (Pakistan),"The National Institute of Health, Islamabad (NIH) ( Urdu : قومی ادارہَ صحت ), is a Pakistani research institute located in Islamabad , Pakistan. The institute is an autonomous body of Ministry of National Health Services, Regulation and Coordination , mainly responsible for biomedical and health related research along with vaccine manufacturing. The National Health Laboratories was the brainchild of Health Minister Wajid Ali Khan Burki and was approved by the Government of Pakistan in 1961 at the cost of Rs. 20.5 million (equivalent to Rs. 100 million or US$370,000 in 2021). By the end of its completion in 1965, its cost rose to Rs. 400 million (equivalent to Rs. 2.0 billion or US$7.3 million in 2021).",711,117
national_library_of_pakistan,National Library Of Pakistan,"The National Library of Pakistan ( Urdu : قومى کتب خانہ پاکستان ) is located in the vicinity of the Red Zone , Islamabad , Pakistan . Argued to be the country's oldest cultural institution, the library is a leading resource for information — ancient and new. The National Library collection includes approximately 66% of all serial and 50-55% of all books publications in the country. Designed in Eastern architectural style, the library includes space for 500 readers, has 15 research rooms, a 450-seat auditorium, and provides computer and microfilm services. At its opening in 1993, the library owned a collection of 130,000 volumes and 600 manuscripts. The National Library 's mission is to promote literacy and serve as a dynamic cultural and educational center for the state's capital Islamabad . Authorization for a national library can be traced back to 1949, although it was not established until 1951 under the secretariat of the Ministry of Education (MoEd). However, there was no physical library infrastructure until 1954 when the National Library merged with the existing Liaquat Memorial Library in Karachi, and was renamed the Liaquat National Library (LNL). Plans began to move the library to Islamabad in 1963, and 1968 saw the separation of the Liaquat and National libraries, with the latter relocated to Pakistan 's new capital, Islamabad . The library was housed in a series of rented structures until construction of a permanent building was completed in 1988. The formal opening took place on 24 August 1993. Scholar Syed Jalaluddin Haider dates the library's existence later, to April 1999, when the 100,000-volume collection housed by the Department of Libraries was physically moved into the new building. In 1962, the library received the right of transference of all copyrighted works to be deposited into its collections. In 1963, the Library began receiving two copies of all books , maps , illustrations and diagrams printed in Pakistan as part of the ordinance. During the Indo-Pakistani War of 1971 , the library was thinned with the creation of Bangladesh with key material being transferred to Bangladesh . After a period of slow growth in its reconstruction, the library began to enlarge its size and importance in the country. Development culminated in the 1980s with an expensive and separated national library building within the vicinity of the Supreme Court's library . It gained more significance in 1992 with the promulgation of copyright (amendment) act 1992. In addition to deposited collections that began in 1993, clauses to include electronic publications as deposit material were also being added to the Copyright law in 2014. 33°43′36″N 73°06′06″E ﻿ / ﻿ 33.726696°N 73.101736°E ﻿ / 33.726696; 73.101736",2753,441
